[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /assets/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (4 handlers)
[GIN-debug] HEAD   /assets/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (4 handlers)
[GIN-debug] Loaded HTML Templates (6): 
	- 
	- addUser.html
	- footer.html
	- header.html
	- index.html
	- login.html

[GIN-debug] GET    /                         --> Go/api.Index (4 handlers)
[GIN-debug] GET    /createData               --> Go/api.CreateData (4 handlers)
[GIN-debug] GET    /deleteData               --> Go/api.DeleteData (4 handlers)
[GIN-debug] GET    /login                    --> Go/api.Login (4 handlers)
[GIN-debug] GET    /addPage                  --> Go/api.AddPage (4 handlers)
[GIN-debug] POST   /addUser                  --> Go/api.AddUser (4 handlers)
[GIN-debug] GET    /searchUser               --> Go/api.SearchUser (4 handlers)
[GIN-debug] GET    /showUser                 --> Go/api.ShowUser (4 handlers)
[GIN-debug] GET    /showPunch                --> Go/api.ShowPunch (4 handlers)
[GIN-debug] POST   /formPost                 --> Go/api.FormPost (4 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2023/12/14 - 17:20:44 | 200 |       1.556ms |       127.0.0.1 | GET      "/searchUser?id=1"
[GIN] 2023/12/14 - 17:20:44 | 200 |      1.0445ms |       127.0.0.1 | GET      "/searchUser?id=2"
[GIN] 2023/12/14 - 17:20:44 | 200 |       540.2µs |       127.0.0.1 | GET      "/searchUser?id=1"
[GIN] 2023/12/14 - 17:20:44 | 200 |       540.2µs |       127.0.0.1 | GET      "/searchUser?id=2"
[GIN] 2023/12/14 - 17:20:51 | 302 |      2.2912ms |       127.0.0.1 | POST     "/addUser"
[GIN] 2023/12/14 - 17:20:51 | 200 |      1.4852ms |       127.0.0.1 | GET      "/"
[GIN] 2023/12/14 - 17:20:52 | 200 |       704.9µs |       127.0.0.1 | GET      "/showUser"
[GIN] 2023/12/14 - 17:20:52 | 404 |            0s |       127.0.0.1 | GET      "/assets/avatars/jack.jpg"
[GIN] 2023/12/14 - 17:20:52 | 404 |            0s |       127.0.0.1 | GET      "/assets/avatars/.jpg"
[GIN] 2023/12/14 - 17:20:52 | 200 |       874.2µs |       127.0.0.1 | GET      "/showPunch"
[GIN] 2023/12/14 - 17:20:52 | 200 |      1.7732ms |       127.0.0.1 | GET      "/searchUser?id=1"
[GIN] 2023/12/14 - 17:20:52 | 200 |      1.0779ms |       127.0.0.1 | GET      "/searchUser?id=2"
[GIN] 2023/12/14 - 17:20:52 | 200 |       1.146ms |       127.0.0.1 | GET      "/searchUser?id=1"
[GIN] 2023/12/14 - 17:20:52 | 200 |      1.5504ms |       127.0.0.1 | GET      "/searchUser?id=2"
[GIN] 2023/12/14 - 17:23:38 | 200 |           1ms |       127.0.0.1 | GET      "/"
[GIN] 2023/12/14 - 17:23:38 | 200 |            0s |       127.0.0.1 | GET      "/showUser"
[GIN] 2023/12/14 - 17:23:39 | 200 |            0s |       127.0.0.1 | GET      "/showPunch"
[GIN] 2023/12/14 - 17:23:39 | 200 |       871.4µs |       127.0.0.1 | GET      "/searchUser?id=1"
[GIN] 2023/12/14 - 17:23:39 | 200 |         515µs |       127.0.0.1 | GET      "/searchUser?id=2"
[GIN] 2023/12/14 - 17:23:39 | 200 |       523.6µs |       127.0.0.1 | GET      "/searchUser?id=1"
[GIN] 2023/12/14 - 17:23:39 | 200 |       523.6µs |       127.0.0.1 | GET      "/searchUser?id=2"
